FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
17.000000,39.148567,-0.130389,-1.204011,-1.097794,-0.979265,-0.853373,-0.740301,-0.682654,-0.394504,-0.228041,-0.017353,0.442427,0.368231,0.300248,0.243385,0.216952,0.182375,0.156649,0.120946,0.880223,0.879998,0.882218,0.881661,0.881536,0.879898,0.882200,0.881727,0.880633,0.880387,0.882890,0.882153,0.880337,0.879819
18.000000,39.149620,-0.127133,-1.201731,-1.095874,-0.977738,-0.851880,-0.738866,-0.681040,-0.392250,-0.227116,-0.016033,0.442912,0.368666,0.300715,0.243928,0.217429,0.183330,0.157355,0.121888,0.880887,0.880513,0.882867,0.882272,0.882082,0.880450,0.882768,0.882199,0.881182,0.880825,0.883418,0.882778,0.880757,0.880283
19.000000,39.149811,-0.129001,-1.203302,-1.097364,-0.978843,-0.852942,-0.739567,-0.682021,-0.393220,-0.227602,-0.016329,0.442974,0.368712,0.300827,0.243421,0.217411,0.183221,0.157103,0.121725,0.880557,0.880214,0.882514,0.882136,0.881781,0.880149,0.882350,0.881854,0.880761,0.880614,0.883131,0.882434,0.880377,0.879998
20.000000,39.151203,-0.132870,-1.209285,-1.102627,-0.983431,-0.857011,-0.743557,-0.685825,-0.396208,-0.229442,-0.018240,0.443001,0.368572,0.300403,0.243075,0.216801,0.182303,0.156243,0.120556,0.881800,0.881479,0.883582,0.883411,0.882985,0.881327,0.883496,0.883077,0.881998,0.881912,0.884370,0.883615,0.881667,0.881413
21.000000,39.150261,-0.133149,-1.210792,-1.103749,-0.984455,-0.857536,-0.744023,-0.686096,-0.395085,-0.229051,-0.017616,0.444087,0.369630,0.301214,0.244288,0.217497,0.183077,0.157012,0.121232,0.883143,0.882769,0.884826,0.884737,0.884250,0.882538,0.884797,0.884372,0.883394,0.883234,0.885670,0.884943,0.882924,0.882759
22.000000,39.152264,-0.132169,-1.207948,-1.101052,-0.981997,-0.855167,-0.741501,-0.683729,-0.393057,-0.227608,-0.016127,0.444692,0.370511,0.302252,0.245043,0.218477,0.184278,0.158275,0.122538,0.882737,0.882216,0.884353,0.884283,0.883774,0.882016,0.884365,0.883813,0.882880,0.882719,0.885208,0.884450,0.882372,0.882200
23.000000,39.153202,-0.132671,-1.206962,-1.100277,-0.981215,-0.854606,-0.741066,-0.683192,-0.393029,-0.227737,-0.016802,0.443891,0.369849,0.301641,0.244575,0.217909,0.183830,0.157993,0.122137,0.882024,0.881450,0.883470,0.883435,0.882996,0.881338,0.883738,0.882997,0.882140,0.881931,0.884387,0.883582,0.881588,0.881481
24.000000,39.152023,-0.131922,-1.207173,-1.100569,-0.981731,-0.855062,-0.741766,-0.683679,-0.393561,-0.228690,-0.017438,0.443277,0.369012,0.300786,0.244171,0.217126,0.183147,0.157236,0.121350,0.882335,0.881830,0.883789,0.883688,0.883266,0.881799,0.884197,0.883251,0.882566,0.882242,0.884598,0.883843,0.881827,0.881819
25.000000,39.152462,-0.129392,-1.204750,-1.098142,-0.979895,-0.853250,-0.739805,-0.682003,-0.392732,-0.227270,-0.016443,0.444008,0.369709,0.301640,0.244648,0.218072,0.184077,0.158131,0.122419,0.882146,0.881698,0.883594,0.883419,0.883041,0.881620,0.884058,0.883042,0.882440,0.882013,0.884487,0.883668,0.881609,0.881558
26.000000,39.152077,-0.128922,-1.201767,-1.095477,-0.977465,-0.851139,-0.737885,-0.680356,-0.391789,-0.226589,-0.016233,0.442994,0.368916,0.301075,0.244188,0.217634,0.183647,0.157690,0.122086,0.880395,0.879950,0.881724,0.881572,0.881241,0.879715,0.882178,0.881222,0.880568,0.880252,0.882680,0.881826,0.879777,0.879622
27.000000,39.153389,-0.128111,-1.201669,-1.095946,-0.977966,-0.851864,-0.739091,-0.681057,-0.391998,-0.227792,-0.017019,0.441550,0.367396,0.299420,0.243189,0.216236,0.182247,0.156343,0.120598,0.880533,0.880067,0.881870,0.881839,0.881333,0.879719,0.882271,0.881285,0.880683,0.880503,0.882770,0.881921,0.880067,0.879667
28.000000,39.154522,-0.125747,-1.200898,-1.095188,-0.977535,-0.851568,-0.738539,-0.680210,-0.391050,-0.226832,-0.016335,0.442770,0.368455,0.300397,0.243576,0.217448,0.183186,0.157285,0.121801,0.881407,0.880823,0.882701,0.882875,0.882092,0.880536,0.883018,0.882132,0.881557,0.881377,0.883566,0.882719,0.880936,0.880503
29.000000,39.154320,-0.125921,-1.199865,-1.094067,-0.976333,-0.850500,-0.737340,-0.679167,-0.389861,-0.226591,-0.015919,0.443478,0.369043,0.301138,0.243863,0.218202,0.183896,0.157932,0.122644,0.880873,0.880254,0.882138,0.882323,0.881500,0.879966,0.882272,0.881568,0.881036,0.880769,0.882923,0.882098,0.880217,0.879894
30.000000,39.153862,-0.128803,-1.202052,-1.096091,-0.977781,-0.851815,-0.738564,-0.680505,-0.391836,-0.227670,-0.016414,0.443376,0.368863,0.301120,0.243588,0.217696,0.183486,0.157562,0.122252,0.880547,0.879963,0.881858,0.881948,0.881201,0.879661,0.881909,0.881282,0.880644,0.880454,0.882553,0.881735,0.879789,0.879623
31.000000,39.153748,-0.131476,-1.205167,-1.098938,-0.980143,-0.853993,-0.740796,-0.682694,-0.393182,-0.228093,-0.017349,0.443029,0.368497,0.300693,0.243369,0.216908,0.182723,0.156901,0.121340,0.880929,0.880358,0.882219,0.882399,0.881632,0.880170,0.882352,0.881742,0.881016,0.880887,0.882973,0.882155,0.880302,0.880086
32.000000,39.153458,-0.130734,-1.205158,-1.098803,-0.980139,-0.853917,-0.740812,-0.682648,-0.391751,-0.227653,-0.017054,0.443209,0.368643,0.300697,0.243726,0.216988,0.182871,0.156948,0.121457,0.881020,0.880534,0.882444,0.882671,0.881872,0.880399,0.882618,0.882053,0.881305,0.881229,0.883343,0.882544,0.880668,0.880414
33.000000,39.155670,-0.127943,-1.201712,-1.095714,-0.977491,-0.851551,-0.738560,-0.680631,-0.390290,-0.227031,-0.016766,0.443117,0.368622,0.300843,0.243869,0.217218,0.183184,0.157387,0.122146,0.880168,0.879838,0.881747,0.881844,0.881055,0.879617,0.881880,0.881334,0.880548,0.880466,0.882626,0.881889,0.880014,0.879706
34.000000,39.154713,-0.125965,-1.197427,-1.091700,-0.973930,-0.848326,-0.735726,-0.677899,-0.388990,-0.225535,-0.016359,0.442762,0.368385,0.300750,0.244142,0.217227,0.183579,0.157960,0.122521,0.878892,0.878743,0.880542,0.880442,0.879705,0.878448,0.880559,0.879977,0.879212,0.879068,0.881246,0.880499,0.878677,0.878329
35.000000,39.155540,-0.127178,-1.195403,-1.089839,-0.972029,-0.846768,-0.734509,-0.676700,-0.389224,-0.225360,-0.015979,0.441546,0.367484,0.299985,0.243781,0.216551,0.182973,0.157403,0.121878,0.877093,0.876883,0.878684,0.878578,0.877941,0.876514,0.878738,0.877965,0.877303,0.877230,0.879407,0.878516,0.876696,0.876400
36.000000,39.155815,-0.128217,-1.197215,-1.091738,-0.973741,-0.848348,-0.736191,-0.678295,-0.391433,-0.227019,-0.016890,0.440490,0.366387,0.298867,0.242711,0.215446,0.181807,0.156025,0.120543,0.877286,0.876792,0.878720,0.878698,0.878105,0.876493,0.878910,0.877962,0.877433,0.877387,0.879533,0.878671,0.876783,0.876461
37.000000,39.155937,-0.129517,-1.202546,-1.096563,-0.978121,-0.852043,-0.739303,-0.681574,-0.393129,-0.228274,-0.017740,0.441602,0.367189,0.299507,0.242642,0.215690,0.181879,0.155885,0.120480,0.879409,0.878922,0.880705,0.880664,0.880148,0.878538,0.880710,0.879914,0.879392,0.879267,0.881530,0.880667,0.878752,0.878326
