0.189189387,74.01673742,,,
0.294594745,67.23849033,,,
0.351351571,60.08367993,,,
0.45675693,52.92886954,,,
0.554054302,45.39748867,,,
0.667567646,39.37238253,,,
0.772973313,31.84100166,,,
0.837837816,25.06276175,,,
0.894594951,19.79078939,,,
0.959459454,13.01254948,,,
1,10,,,
1.424528363,9.925925653,,,
2.273585089,9.555555329,,,
2.952826583,8.962961963,,,
4.056602918,8.296295663,,,
5.415092384,7.666665829,,,
6.349053487,6.925925182,,,
7.283021068,6.333333229,,,
8.301886548,5.81481421,,,
9.320752028,5.370370952,,,
10,5.074073562,,,
17.7884736,4.73444007,,,
26.44231848,4.360996063,,,
35.09616337,3.91286297,,,
42.88463697,3.464729877,,,
54.1345957,3.053942039,,,
67.11536303,2.531119859,,,
80.96156766,2.195019683,,,
92.2115264,1.933610018,,,
100,1.82157697,,,
217.7571713,1.672198821,,,
343.9254316,1.560165922,,,
470.0936918,1.373443948,,,
604.6730411,1.186721974,,,
621.4952191,1.014999914,,,
714.0191234,1.003749943,,,
806.5423859,0.992499971,,,
907.4767375,0.977499914,,,
1000,0.9625,,,
1424.528057,0.9625,,,
2783.023023,0.94375,,,
4311.320144,0.940000057,,,
5584.904316,0.940000057,,,
6943.392804,0.94375,,,
8301.88777,0.954999971,,,
9745.280574,0.977499914,,,
13461.55116,0.984999943,,,
22980.76733,0.984999943,,,
33365.4208,1,,,
45480.81684,1.014999914,,,
64519.24918,1.033749914,,,
80096.19638,1.033749914,,,
94807.70627,1.026249886,,,
161165.4304,1.014999914,,,
239806.3171,0.996249914,,,
353398.1165,0.977499914,,,
423301.2751,0.954999971,,,
501942.1618,0.925,,,
563106.9256,0.883750057,,,
580582.3819,0.83125,,,
598058.5048,0.782499886,,,
624271.6893,0.729999828,,,
641747.8123,0.673749828,,,
650485.5404,0.632499886,,,
650485.5404,0.557499886,,,
667960.9968,0.508750057,,,
685437.1197,0.459999943,,,
755339.6117,0.444999886,,,
860193.6829,0.452500057,,,
912621.3851,0.490000057,,,
982524.5437,0.516249943,,,
1169821.587,0.538749886,,,
2018877.702,0.583750057,,,
3207551.081,0.621250057,,,
3886798.564,0.669999886,,,
4820752.517,0.722499943,,,
6179247.483,0.790000057,,,
7537742.449,0.819999886,,,
8896224.46,0.85,,,
10000000,0.857499886,,,
