FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
17.000000,39.655220,0.241318,0.267613,0.075376,-0.114572,-0.288127,-0.341279,-0.328169,-0.283524,-0.198309,-0.142874,-0.555620,-0.459970,-0.365883,-0.182302,-0.061690,-0.013271,0.025481,0.042012,0.889993,0.889481,0.891299,0.891206,0.890538,0.889638,0.891211,0.891120,0.889939,0.890001,0.891669,0.891452,0.889957,0.889392
18.000000,39.654423,0.240302,0.266255,0.073834,-0.115719,-0.289350,-0.342630,-0.329443,-0.284913,-0.199803,-0.143622,-0.556836,-0.461136,-0.367075,-0.182356,-0.062859,-0.014579,0.024147,0.040689,0.889484,0.888997,0.890825,0.890639,0.889967,0.889029,0.890648,0.890654,0.889507,0.889447,0.891059,0.890902,0.889395,0.888896
19.000000,39.653130,0.240770,0.265270,0.072408,-0.117221,-0.291275,-0.344487,-0.331238,-0.286495,-0.201284,-0.142725,-0.558299,-0.462697,-0.367503,-0.198841,-0.063355,-0.015233,0.023399,0.040141,0.890322,0.889896,0.891773,0.891566,0.890954,0.889830,0.891635,0.891516,0.890387,0.890298,0.891994,0.891815,0.890220,0.889745
20.000000,39.652878,0.241169,0.265113,0.071517,-0.118496,-0.293249,-0.346596,-0.333374,-0.288458,-0.203013,-0.139741,-0.560579,-0.464674,-0.368982,-0.210858,-0.063955,-0.016174,0.022680,0.039285,0.891579,0.891174,0.893123,0.892948,0.892386,0.891150,0.892968,0.892859,0.891655,0.891650,0.893391,0.893312,0.891618,0.891038
21.000000,39.652836,0.241796,0.265310,0.071546,-0.118913,-0.293695,-0.347585,-0.334022,-0.289216,-0.203717,-0.139413,-0.561363,-0.465349,-0.370132,-0.206930,-0.064401,-0.016484,0.022292,0.038900,0.891775,0.891412,0.893153,0.892948,0.892436,0.891237,0.892885,0.892833,0.891700,0.891649,0.893325,0.893315,0.891605,0.890870
22.000000,39.650997,0.240514,0.265663,0.072254,-0.118191,-0.292835,-0.346531,-0.333190,-0.288433,-0.202944,-0.140110,-0.560828,-0.464392,-0.370218,-0.185330,-0.064872,-0.016305,0.022645,0.039356,0.891355,0.890840,0.892501,0.892317,0.891834,0.890659,0.892256,0.892169,0.891102,0.891056,0.892654,0.892503,0.890896,0.890173
23.000000,39.652042,0.240559,0.267809,0.074572,-0.115689,-0.290339,-0.343691,-0.330536,-0.285748,-0.200264,-0.138362,-0.558096,-0.460894,-0.368314,-0.173291,-0.062619,-0.014396,0.024654,0.041285,0.891431,0.890855,0.892562,0.892559,0.891976,0.890876,0.892578,0.892422,0.891274,0.891363,0.892851,0.892692,0.891194,0.890497
24.000000,39.651707,0.241569,0.268236,0.075477,-0.114372,-0.288463,-0.342062,-0.328626,-0.283876,-0.198728,-0.139770,-0.554746,-0.457232,-0.366031,-0.181740,-0.060937,-0.013252,0.025515,0.042134,0.889640,0.889194,0.891096,0.890952,0.890417,0.889294,0.891004,0.890744,0.889600,0.889677,0.891131,0.891003,0.889500,0.888890
25.000000,39.650925,0.241010,0.267361,0.074859,-0.114601,-0.288519,-0.342311,-0.328831,-0.284048,-0.199121,-0.143066,-0.553808,-0.456209,-0.365578,-0.186090,-0.061473,-0.014178,0.024785,0.041391,0.888808,0.888489,0.890585,0.890357,0.889833,0.888504,0.889973,0.889862,0.888793,0.888878,0.890305,0.890213,0.888718,0.888215
26.000000,39.650211,0.241643,0.267305,0.074795,-0.114878,-0.288917,-0.342598,-0.329105,-0.284417,-0.199346,-0.141273,-0.553367,-0.455529,-0.365014,-0.190612,-0.062138,-0.014036,0.024815,0.041305,0.889912,0.889787,0.891670,0.891547,0.890883,0.889648,0.890859,0.890982,0.890001,0.890062,0.891447,0.891402,0.889814,0.889401
27.000000,39.650368,0.241369,0.266901,0.074432,-0.115183,-0.289194,-0.342712,-0.329400,-0.284715,-0.199711,-0.140676,-0.553322,-0.455272,-0.364959,-0.193484,-0.062787,-0.014128,0.024437,0.041055,0.888989,0.888919,0.890617,0.890544,0.889945,0.888839,0.890033,0.890245,0.889145,0.889246,0.890652,0.890526,0.888890,0.888500
28.000000,39.649521,0.240755,0.265968,0.073120,-0.116747,-0.291066,-0.344938,-0.331462,-0.286685,-0.201765,-0.139822,-0.555808,-0.457528,-0.367209,-0.193248,-0.063590,-0.016145,0.022777,0.039637,0.889685,0.889582,0.891287,0.891213,0.890688,0.889499,0.890786,0.890984,0.889807,0.889937,0.891274,0.891142,0.889595,0.889250
29.000000,39.648045,0.242388,0.265574,0.072025,-0.118660,-0.293618,-0.347672,-0.333923,-0.288894,-0.203601,-0.137544,-0.558414,-0.459883,-0.368686,-0.193433,-0.063898,-0.016650,0.022455,0.039087,0.892713,0.892622,0.894352,0.894279,0.893725,0.892553,0.893875,0.894043,0.893009,0.892871,0.894318,0.894234,0.892757,0.892393
30.000000,39.647385,0.245155,0.266071,0.072360,-0.118754,-0.293838,-0.347478,-0.333834,-0.288649,-0.202778,-0.135028,-0.557443,-0.458910,-0.366822,-0.193632,-0.062103,-0.014564,0.024124,0.040731,0.894507,0.894395,0.896079,0.896098,0.895428,0.894394,0.895597,0.895906,0.894780,0.894544,0.896126,0.896112,0.894530,0.894168
31.000000,39.646667,0.244993,0.265644,0.071879,-0.119027,-0.294026,-0.347763,-0.334263,-0.289134,-0.203079,-0.135899,-0.558219,-0.460081,-0.367479,-0.190389,-0.062140,-0.014998,0.023678,0.040366,0.894562,0.894365,0.896076,0.896021,0.895439,0.894447,0.895735,0.895949,0.894797,0.894648,0.896222,0.896182,0.894595,0.894154
32.000000,39.646774,0.244479,0.266037,0.072320,-0.118249,-0.293154,-0.346953,-0.333578,-0.288450,-0.202611,-0.136468,-0.558316,-0.460922,-0.367901,-0.180934,-0.062925,-0.015060,0.023926,0.040542,0.894205,0.893778,0.895613,0.895551,0.894945,0.893929,0.895289,0.895429,0.894284,0.894174,0.895627,0.895626,0.893948,0.893549
33.000000,39.646385,0.244914,0.266752,0.073476,-0.116893,-0.291272,-0.344832,-0.331543,-0.286508,-0.200918,-0.134146,-0.555704,-0.458586,-0.365881,-0.178842,-0.061872,-0.013812,0.025177,0.041879,0.893423,0.892972,0.894850,0.894741,0.894200,0.893057,0.894464,0.894609,0.893455,0.893424,0.894879,0.894860,0.893242,0.892823
34.000000,39.645702,0.243474,0.266179,0.072736,-0.117728,-0.292170,-0.345909,-0.332646,-0.287677,-0.202194,-0.137438,-0.557455,-0.460189,-0.367734,-0.180394,-0.062619,-0.015124,0.023868,0.040384,0.893526,0.893168,0.895158,0.895003,0.894499,0.893360,0.894772,0.894978,0.893728,0.893870,0.895220,0.895198,0.893610,0.893192
35.000000,39.644932,0.242812,0.266382,0.072538,-0.118269,-0.293307,-0.347260,-0.333760,-0.288922,-0.203483,-0.137608,-0.560107,-0.462963,-0.370104,-0.177927,-0.063536,-0.015782,0.023060,0.039348,0.894619,0.894375,0.896274,0.896210,0.895694,0.894506,0.896039,0.896136,0.894801,0.895076,0.896414,0.896403,0.894760,0.894353
36.000000,39.645443,0.244294,0.267301,0.073352,-0.117423,-0.292538,-0.346277,-0.332639,-0.287866,-0.202405,-0.135805,-0.558967,-0.462237,-0.369016,-0.174998,-0.063274,-0.014295,0.024169,0.040527,0.894505,0.894308,0.896195,0.896123,0.895638,0.894460,0.895957,0.896003,0.894622,0.894846,0.896407,0.896447,0.894867,0.894362
37.000000,39.643829,0.244434,0.267221,0.073545,-0.117064,-0.291960,-0.345207,-0.331892,-0.287032,-0.201719,-0.138536,-0.557858,-0.461492,-0.367621,-0.177915,-0.063139,-0.013645,0.024971,0.041550,0.893286,0.892979,0.894955,0.894908,0.894329,0.893216,0.894703,0.894742,0.893441,0.893509,0.895159,0.895259,0.893912,0.893082
38.000000,39.642574,0.244912,0.267090,0.074021,-0.116134,-0.290581,-0.343732,-0.330355,-0.285592,-0.200608,-0.137533,-0.555964,-0.460157,-0.365584,-0.188579,-0.061859,-0.013031,0.025526,0.041983,0.891069,0.890777,0.892703,0.892812,0.892118,0.891095,0.892522,0.892529,0.891303,0.891312,0.892929,0.893092,0.891805,0.890909
39.000000,39.643196,0.245068,0.266408,0.073793,-0.115872,-0.290029,-0.343020,-0.329560,-0.284880,-0.199965,-0.138561,-0.554448,-0.458918,-0.364169,-0.193100,-0.061246,-0.012846,0.025610,0.041796,0.889545,0.889311,0.891191,0.891359,0.890492,0.889615,0.890923,0.891074,0.889830,0.889824,0.891515,0.891562,0.890178,0.889458
40.000000,39.643349,0.243881,0.265682,0.073076,-0.116548,-0.290663,-0.343569,-0.330250,-0.285499,-0.200375,-0.138328,-0.554899,-0.459262,-0.364766,-0.195354,-0.061525,-0.013294,0.025100,0.041368,0.889575,0.889256,0.891244,0.891225,0.890448,0.889585,0.890847,0.891042,0.889705,0.889898,0.891383,0.891557,0.889914,0.889400
41.000000,39.642170,0.244184,0.265726,0.072780,-0.116750,-0.290792,-0.344321,-0.330552,-0.285792,-0.200745,-0.137835,-0.554806,-0.459233,-0.365513,-0.194292,-0.061903,-0.013866,0.024653,0.040813,0.890096,0.889620,0.891558,0.891582,0.890899,0.889984,0.891288,0.891386,0.889983,0.890319,0.891626,0.892005,0.890101,0.889752
42.000000,39.640957,0.245343,0.266255,0.073304,-0.116358,-0.290267,-0.343618,-0.329792,-0.284923,-0.199926,-0.137977,-0.553722,-0.458242,-0.364544,-0.188097,-0.060807,-0.013217,0.025223,0.041812,0.890362,0.889767,0.891796,0.891769,0.891162,0.890084,0.891517,0.891638,0.890218,0.890493,0.891795,0.892136,0.890193,0.889918
43.000000,39.640911,0.245082,0.266872,0.074212,-0.115346,-0.289019,-0.342039,-0.328417,-0.283678,-0.198714,-0.137691,-0.552746,-0.457495,-0.363486,-0.191487,-0.059727,-0.012298,0.025962,0.042624,0.889662,0.889157,0.891119,0.891003,0.890485,0.889303,0.890763,0.890884,0.889571,0.889790,0.891124,0.891422,0.889583,0.889257
44.000000,39.640705,0.243644,0.266333,0.073996,-0.115203,-0.288749,-0.341750,-0.328100,-0.283648,-0.198768,-0.138958,-0.552878,-0.457806,-0.363759,-0.194594,-0.060303,-0.012649,0.025716,0.041839,0.888424,0.888154,0.889800,0.889799,0.889213,0.888121,0.889447,0.889530,0.888417,0.888533,0.889989,0.890204,0.888414,0.888072
45.000000,39.640072,0.243458,0.265731,0.073197,-0.116051,-0.289743,-0.342557,-0.329022,-0.284507,-0.199472,-0.137812,-0.553856,-0.458531,-0.364245,-0.194448,-0.061397,-0.013099,0.025360,0.041648,0.888462,0.888442,0.889922,0.890030,0.889323,0.888347,0.889589,0.889744,0.888722,0.888620,0.890209,0.890341,0.888705,0.888256
46.000000,39.639694,0.242461,0.266768,0.073938,-0.115331,-0.289273,-0.342237,-0.328878,-0.284367,-0.199313,-0.139592,-0.554722,-0.458869,-0.365389,-0.183403,-0.062694,-0.013259,0.025066,0.041726,0.888565,0.888568,0.890166,0.890281,0.889474,0.888601,0.889810,0.889962,0.888964,0.888739,0.890366,0.890613,0.888898,0.888516
47.000000,39.638920,0.241608,0.266138,0.073504,-0.115513,-0.289426,-0.342452,-0.329208,-0.284670,-0.199657,-0.140554,-0.554383,-0.458403,-0.365670,-0.175792,-0.062899,-0.013869,0.024347,0.040949,0.888143,0.888010,0.889832,0.889769,0.889027,0.888179,0.889325,0.889532,0.888436,0.888308,0.889870,0.890154,0.888261,0.887995
48.000000,39.639881,0.242941,0.263969,0.071118,-0.118006,-0.291859,-0.345291,-0.331704,-0.287031,-0.201826,-0.138507,-0.555174,-0.459518,-0.365908,-0.184091,-0.063366,-0.015179,0.023278,0.039679,0.889452,0.889233,0.891170,0.890971,0.890381,0.889395,0.890473,0.890713,0.889520,0.889662,0.891028,0.891286,0.889352,0.889164
