FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
17.000000,39.403698,-1.431919,-2.014565,-2.021535,-0.975557,-0.685467,-0.415028,-0.281946,-0.255030,-0.247624,-0.253449,0.568496,0.518467,0.441616,0.340482,0.281054,0.195230,0.114765,0.007907,0.884840,0.884424,0.886537,0.886656,0.886223,0.884913,0.886731,0.886822,0.885151,0.885043,0.887807,0.886820,0.884756,0.884349
18.000000,39.403595,-1.436163,-2.018854,-2.028183,-0.981671,-0.696865,-0.429583,-0.285788,-0.254046,-0.252828,-0.254378,0.568985,0.519185,0.442367,0.340516,0.281788,0.196007,0.115249,0.008345,0.884155,0.883753,0.885719,0.885844,0.885469,0.884127,0.886034,0.886012,0.884361,0.884187,0.886951,0.886041,0.883802,0.883670
19.000000,39.403313,-1.441945,-2.020594,-2.033477,-0.981400,-0.694988,-0.427155,-0.286839,-0.256652,-0.258389,-0.256398,0.568458,0.519014,0.442459,0.341054,0.282017,0.196390,0.115252,0.008188,0.882748,0.882281,0.884162,0.884229,0.884098,0.882511,0.884562,0.884409,0.882783,0.882609,0.885328,0.884427,0.882263,0.882175
20.000000,39.403431,-1.428209,-2.003858,-2.016399,-0.968211,-0.672967,-0.400127,-0.277615,-0.255203,-0.251584,-0.253490,0.566768,0.517396,0.441295,0.340064,0.281474,0.196315,0.115598,0.009440,0.880551,0.880049,0.882029,0.882053,0.882091,0.880396,0.882541,0.882340,0.880728,0.880508,0.883239,0.882225,0.880228,0.880151
21.000000,39.402374,-1.418360,-1.995360,-2.006734,-0.962123,-0.665916,-0.394812,-0.272392,-0.248411,-0.245235,-0.252840,0.565564,0.516046,0.440057,0.338629,0.280412,0.195696,0.115351,0.009173,0.879899,0.879398,0.881599,0.881467,0.881569,0.880006,0.882033,0.881935,0.880299,0.880007,0.882782,0.881739,0.879635,0.879713
22.000000,39.402527,-1.422073,-2.000557,-2.014080,-0.965248,-0.671533,-0.401699,-0.272121,-0.246075,-0.251054,-0.258329,0.565209,0.515386,0.439185,0.337643,0.278845,0.193644,0.113052,0.005594,0.882046,0.881680,0.883733,0.883653,0.883723,0.882177,0.884106,0.884101,0.882561,0.882207,0.885000,0.884081,0.881835,0.881840
23.000000,39.402813,-1.440664,-2.021451,-2.034175,-0.980303,-0.688405,-0.417723,-0.282203,-0.254345,-0.257556,-0.261940,0.566553,0.516803,0.440335,0.338738,0.279125,0.193333,0.112537,0.004468,0.884623,0.884333,0.886150,0.886228,0.886246,0.884699,0.886553,0.886516,0.885063,0.884646,0.887382,0.886615,0.884220,0.884190
24.000000,39.404549,-1.459576,-2.044250,-2.053159,-0.997644,-0.715047,-0.443717,-0.294202,-0.262558,-0.261884,-0.259797,0.569157,0.519587,0.442990,0.340837,0.281471,0.195728,0.114701,0.007008,0.885072,0.884829,0.886686,0.886661,0.886793,0.885233,0.887034,0.886968,0.885608,0.885146,0.887717,0.887038,0.884657,0.884661
25.000000,39.403183,-1.445971,-2.027606,-2.039227,-0.987301,-0.707633,-0.441918,-0.295631,-0.261723,-0.262291,-0.258700,0.568808,0.519138,0.442701,0.340898,0.281856,0.196587,0.115458,0.008405,0.883344,0.883134,0.885012,0.885071,0.885064,0.883556,0.885187,0.885280,0.884034,0.883510,0.885981,0.885342,0.882978,0.883001
26.000000,39.404266,-1.439976,-2.018821,-2.031210,-0.980176,-0.701534,-0.438059,-0.294457,-0.255368,-0.254670,-0.255240,0.566304,0.516804,0.440438,0.339730,0.280222,0.195468,0.114759,0.008472,0.881139,0.880863,0.882769,0.882881,0.882706,0.881341,0.882949,0.883124,0.881838,0.881303,0.883816,0.883193,0.880759,0.880823
27.000000,39.402546,-1.436304,-2.015866,-2.025981,-0.975831,-0.686975,-0.412862,-0.283773,-0.252410,-0.250571,-0.253421,0.566015,0.516573,0.440039,0.338821,0.279854,0.195184,0.114643,0.008633,0.881060,0.880845,0.882778,0.882799,0.882524,0.881287,0.882944,0.883072,0.881601,0.881313,0.883713,0.883060,0.880678,0.880749
28.000000,39.403992,-1.425645,-2.004575,-2.012153,-0.963771,-0.662642,-0.386998,-0.276322,-0.253473,-0.256079,-0.263663,0.566765,0.517190,0.440410,0.338541,0.280094,0.195058,0.114330,0.007538,0.882569,0.882359,0.884308,0.884352,0.884028,0.882869,0.884469,0.884612,0.883121,0.882885,0.885196,0.884519,0.882097,0.882269
