FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
1.000000,40.957874,-0.044062,0.460307,0.294266,0.090582,-0.125356,-0.214434,-0.241713,-0.228244,-0.181566,-0.126911,-0.446426,-0.449406,-0.450639,-0.461627,-0.452946,-0.406903,-0.312263,-0.205152,0.892008,0.891853,0.893259,0.893174,0.891596,0.892064,0.893307,0.892953,0.892482,0.892531,0.892646,0.893349,0.892280,0.892377
2.000000,40.956696,-0.039308,0.453145,0.284087,0.083307,-0.134559,-0.230079,-0.255538,-0.243471,-0.199569,-0.144158,-0.437810,-0.438850,-0.442645,-0.443670,-0.441783,-0.408077,-0.319652,-0.238304,0.890512,0.890330,0.891961,0.891919,0.890609,0.890693,0.891780,0.891584,0.891426,0.891135,0.891496,0.891481,0.890719,0.890697
3.000000,40.955261,-0.012644,0.446876,0.277335,0.077307,-0.139892,-0.234637,-0.260068,-0.247777,-0.203696,-0.146545,-0.406149,-0.407922,-0.411845,-0.414040,-0.413644,-0.401867,-0.326722,-0.247544,0.889788,0.889819,0.891130,0.891115,0.889925,0.889941,0.891058,0.890897,0.890647,0.890360,0.890932,0.890640,0.890210,0.889807
4.000000,40.953945,-0.027105,0.448677,0.278802,0.077763,-0.140053,-0.234886,-0.260382,-0.247881,-0.203228,-0.148420,-0.422509,-0.423258,-0.426850,-0.426278,-0.421590,-0.407827,-0.329503,-0.247270,0.890752,0.890502,0.892139,0.892044,0.890992,0.891054,0.892044,0.891910,0.891831,0.891422,0.891818,0.891694,0.890928,0.890837
5.000000,40.953346,-0.028495,0.449744,0.279678,0.078240,-0.139988,-0.234825,-0.260313,-0.248051,-0.203786,-0.149293,-0.426850,-0.427699,-0.431282,-0.429936,-0.424690,-0.414446,-0.333398,-0.258193,0.891290,0.891231,0.892603,0.892729,0.891605,0.891766,0.892546,0.892421,0.892307,0.892052,0.892405,0.892268,0.891579,0.891607
6.000000,40.952103,-0.016170,0.446518,0.276524,0.075306,-0.142388,-0.236609,-0.261884,-0.249198,-0.203616,-0.146964,-0.419743,-0.422334,-0.426798,-0.422725,-0.424135,-0.408622,-0.319110,-0.242079,0.890574,0.890306,0.891810,0.891967,0.890765,0.890998,0.891865,0.891605,0.891413,0.891289,0.891510,0.891559,0.890841,0.890915
7.000000,40.952988,-0.024379,0.448430,0.279449,0.078659,-0.138277,-0.232287,-0.256997,-0.243509,-0.194212,-0.137812,-0.427028,-0.430174,-0.433844,-0.434085,-0.441900,-0.410614,-0.313013,-0.225274,0.889461,0.889070,0.890683,0.890776,0.889665,0.889872,0.890804,0.890458,0.890207,0.890060,0.890395,0.890457,0.889876,0.889629
8.000000,40.949459,-0.033534,0.450343,0.282136,0.082083,-0.134604,-0.228571,-0.253472,-0.240267,-0.191994,-0.137521,-0.432927,-0.434516,-0.437034,-0.440700,-0.442708,-0.413104,-0.322151,-0.226418,0.888341,0.887990,0.889585,0.889548,0.888521,0.888739,0.889558,0.889341,0.889027,0.888904,0.889256,0.889389,0.888767,0.888452
9.000000,40.948898,-0.032924,0.449609,0.281231,0.081594,-0.135221,-0.229474,-0.254850,-0.242430,-0.197074,-0.143724,-0.428255,-0.428323,-0.430649,-0.433811,-0.427247,-0.413234,-0.334817,-0.232912,0.888041,0.887859,0.889287,0.889182,0.888184,0.888312,0.889154,0.889106,0.888697,0.888572,0.888994,0.889068,0.888451,0.888209
10.000000,40.947922,-0.013030,0.443959,0.274435,0.074489,-0.142241,-0.236779,-0.262233,-0.250264,-0.207358,-0.150067,-0.408552,-0.408947,-0.411160,-0.411348,-0.411446,-0.400893,-0.338492,-0.245215,0.888371,0.888228,0.889699,0.889728,0.888532,0.888595,0.889557,0.889565,0.889180,0.888928,0.889316,0.889423,0.888756,0.888624
11.000000,40.948727,-0.018287,0.444411,0.274788,0.073988,-0.143082,-0.237605,-0.262998,-0.250860,-0.207335,-0.149765,-0.419197,-0.419336,-0.421664,-0.417206,-0.419967,-0.398290,-0.330092,-0.245385,0.889217,0.889353,0.890796,0.890780,0.889650,0.889694,0.890633,0.890623,0.890265,0.890096,0.890399,0.890483,0.889857,0.889705
12.000000,40.947857,-0.017029,0.446038,0.276636,0.075909,-0.141166,-0.235419,-0.260652,-0.248518,-0.205076,-0.151295,-0.418292,-0.418793,-0.421868,-0.419423,-0.413789,-0.399626,-0.327516,-0.242909,0.889494,0.889695,0.891185,0.891034,0.890167,0.890241,0.890925,0.891025,0.890709,0.890621,0.890763,0.890952,0.890170,0.890131
13.000000,40.944519,-0.007872,0.443542,0.273791,0.073228,-0.144015,-0.237828,-0.263444,-0.251381,-0.208899,-0.152277,-0.404925,-0.406748,-0.409513,-0.411884,-0.402167,-0.395387,-0.334975,-0.253783,0.888990,0.889008,0.890476,0.890233,0.889614,0.889687,0.890275,0.890356,0.890069,0.889983,0.890163,0.890236,0.889603,0.889449
14.000000,40.945103,-0.015179,0.444056,0.274559,0.073945,-0.143164,-0.237378,-0.262489,-0.249894,-0.205423,-0.149219,-0.412198,-0.413616,-0.415745,-0.418792,-0.414427,-0.401709,-0.339441,-0.257560,0.888774,0.888634,0.890164,0.889992,0.889266,0.889426,0.890071,0.889935,0.889710,0.889589,0.889823,0.889811,0.889300,0.889034
